0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:07:37 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:07:53 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:07:58 +0530] "GET /ecommerce1/user/placeOrder HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:08:00 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:08:55 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:08:59 +0530] "GET /ecommerce1/user/placeOrder/1 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:09:01 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:09:33 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:10:18 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:10:32 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:11:03 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:13:15 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:13:34 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:14:33 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:15:28 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:15:55 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:18:28 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3119
0:0:0:0:0:0:0:1 - - [21/Sep/2017:19:18:29 +0530] "GET /ecommerce1/user/checkout HTTP/1.1" 200 3119
