0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:19 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:23 -0700] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:23 -0700] "GET /ecommerce1/user/view/cart HTTP/1.1" 403 1036
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:24 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:24 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:27 -0700] "GET /ecommerce1/login HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:29 -0700] "GET /ecommerce1/ HTTP/1.1" 200 9064
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:29 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:30 -0700] "HEAD /ecommerce1/user/view/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:30 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:30 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:47:30 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
