0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:54 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:58 -0700] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:58 -0700] "GET /ecommerce1/ HTTP/1.1" 200 9065
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:39:58 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:02 -0700] "GET /ecommerce1/admin/product HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:05 -0700] "HEAD /ecommerce1/admin/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:05 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:05 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:05 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:14 -0700] "GET /ecommerce1/ HTTP/1.1" 200 9065
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:14 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:16 -0700] "GET /ecommerce1/login HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:18 -0700] "GET /ecommerce1/ HTTP/1.1" 200 9065
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:18 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:22 -0700] "GET /ecommerce1/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:22 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:40:22 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
